16;16;8
Máy tính dùng hệ nhị phân gồm mấy số?; 10; 4; 2 (đúng); 16
AI viết tắt của?; Artificial Internet; Artificial Intelligence (đúng); Automatic Info; Advanced Interface
Đơn vị lưu trữ nhỏ nhất?; Bit (đúng); Byte; KB; MB
Phần mềm soạn thảo văn bản?; PowerPoint; Word (đúng); Excel; Paint
Hệ điều hành phổ biến nhất?; Linux; Windows (đúng); MacOS; Android
Robot hút bụi dùng cảm biến gì?; Siêu âm (đúng); Nhiệt; Ánh sáng; GPS
Cổng USB thường dùng để?; Truyền dữ liệu (đúng); Internet; Wifi; Hình ảnh
Một thiết bị lưu trữ di động phổ biến?; USB (đúng); CPU; RAM; GPU
Loa vi tính xuất tín hiệu nào?; Âm thanh (đúng); Hình ảnh; Văn bản; Video
Đâu là thiết bị nhập liệu?; Chuột (đúng); Màn hình; Máy in; Loa
Phím nào dùng để xuống dòng?; Ctrl; Enter (đúng); Shift; Tab
Email viết tắt của?; Electronic Mail (đúng); Easy Mail; Every Mail; Extra Mail
Từ “app” nghĩa là gì?; Ứng dụng (đúng); Hệ điều hành; Máy tính; Tập tin
Camera điện thoại dùng để?; Chụp ảnh (đúng); In văn bản; Viết code; Nghe nhạc
Wi-Fi dùng để?; Kết nối không dây (đúng); Lưu dữ liệu; Tăng tốc máy; In tài liệu
Pin laptop dùng để cung cấp gì cho máy tính?; Năng lượng (đúng); Dữ liệu; Wifi; Làm mát
CPU được ví như gì?; Tim; Não (đúng); Tay; Mắt
Robot thường dùng cảm biến siêu âm để đo?; Ánh sáng; Khoảng cách (đúng); Nhiệt độ; Âm thanh
Hệ điều hành phổ biến trên điện thoại?; iOS, Android (đúng); Windows; Ubuntu; MS-DOS
Ổ SSD nhanh hơn HDD vì?; Không dùng đĩa quay (đúng); Có pin; Dùng ánh sáng; Rẻ hơn
Machine Learning là gì?; Tự học từ dữ liệu (đúng); Sửa phần cứng; Chạy lệnh; Thay con người
Robot công nghiệp thường ở đâu?; Nhà máy (đúng); Trường học; Quán cà phê; Sân vận động
Trong ASCII, ký tự 'A' là số?; 65 (đúng); 97; 32; 48
Công cụ viết code?; VS Code (đúng); Photoshop; Word; Paint
Đèn LED sáng nhờ?; Điốt (đúng); Pin; Dầu; Lửa
RAM có đặc điểm gì?; Mất dữ liệu khi tắt (đúng); Lưu lâu dài; Không bao giờ mất; Chỉ game
Ngôn ngữ lập trình phổ biến?; Python (đúng); Photoshop; Excel; PowerPoint
Phát minh giúp internet nhanh?; Cáp quang (đúng); Dây đồng; CD; Bluetooth
Bluetooth dùng để?; Kết nối gần (đúng); Wifi; Lưu trữ; Chạy app
Robot hình người thường có mấy chân?; 2 (đúng); 4; 6; 0
Xe tự lái dùng cảm biến nào?; Lidar (đúng); LED; Camera thường; Nhiệt
Một ngôn ngữ web phổ biến?; HTML (đúng); Word; Excel; Paint
HTTPS khác HTTP ở chỗ nào?; Bảo mật (đúng); Nhanh hơn; Rẻ hơn; Ít dữ liệu
Robot phẫu thuật ưu điểm gì?; Chính xác (đúng); Nghe nhạc; Nhanh hơn ô tô; Không hỏng
Định dạng ".jpg" cho loại dữ liệu?; Ảnh (đúng); Văn bản; Âm thanh; Bảng tính
AI trong điện thoại thường dùng cho?; Nhận diện mặt (đúng); Chơi game; Nghe nhạc; Gọi điện
1 byte bằng bao nhiêu bit?; 8 (đúng); 4; 2; 16
GPS trong điện thoại dùng để?; Định vị (đúng); Nghe nhạc; Chụp ảnh; Soạn văn
Mạng neuron nhân tạo lấy cảm hứng từ?; Não người (đúng); Tim; Gan; Phổi
Actuator trong robot để?; Chuyển động (đúng); Lưu dữ liệu; Xử lý tín hiệu; Mạng
Deep Learning khác ML ở điểm nào?; Nhiều lớp (đúng); Ít dữ liệu; Không dùng máy tính; Chậm hơn
